[2025-02-13T14:01:38.909+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-11T17:00:00+00:00 [queued]>
[2025-02-13T14:01:38.922+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-11T17:00:00+00:00 [queued]>
[2025-02-13T14:01:38.922+0000] {taskinstance.py:1359} INFO - Starting attempt 3 of 4
[2025-02-13T14:01:38.941+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-02-11 17:00:00+00:00
[2025-02-13T14:01:38.950+0000] {standard_task_runner.py:57} INFO - Started process 5650 to run task
[2025-02-13T14:01:38.953+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-02-11T17:00:00+00:00', '--job-id', '143', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator_dag.py', '--cfg-path', '/tmp/tmp_15qbc0o']
[2025-02-13T14:01:38.956+0000] {standard_task_runner.py:85} INFO - Job 143: Subtask generate_txn_fact_data
[2025-02-13T14:01:39.025+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-11T17:00:00+00:00 [running]> on host 5879df32f101
[2025-02-13T14:01:39.123+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoyseiha@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-11T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-11T17:00:00+00:00'
[2025-02-13T14:01:39.128+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.6', 9092) IPv4]
[2025-02-13T14:01:39.129+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-02-13T14:01:39.130+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: Connection complete.
[2025-02-13T14:01:39.234+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-02-13T14:01:39.234+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-13T14:01:39.241+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1737554499239, 'account_id': 'A00282', 'customer_id': 'C00418', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00261', 'transaction_amount': 1146.63, 'exchange_rate': 0.9056}
[2025-02-13T14:01:39.243+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1719151299243, 'account_id': 'A00287', 'customer_id': 'C00838', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00201', 'transaction_amount': 6191.38, 'exchange_rate': 1.4443}
[2025-02-13T14:01:39.246+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1716040899245, 'account_id': 'A00366', 'customer_id': 'C00171', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00535', 'transaction_amount': 3498.91, 'exchange_rate': 0.9795}
[2025-02-13T14:01:39.246+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.6', 9092) IPv4]
[2025-02-13T14:01:39.248+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1711634499248, 'account_id': 'A00880', 'customer_id': 'C00333', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00038', 'transaction_amount': 424.7, 'exchange_rate': 0.6265}
[2025-02-13T14:01:39.251+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1718632899250, 'account_id': 'A00598', 'customer_id': 'C00426', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 3985.72, 'exchange_rate': 1.1591}
[2025-02-13T14:01:39.251+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.6', 9092)]>: Connection complete.
[2025-02-13T14:01:39.253+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1722175299253, 'account_id': 'A00811', 'customer_id': 'C00530', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00960', 'transaction_amount': 5207.18, 'exchange_rate': 0.5476}
[2025-02-13T14:01:39.254+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.6', 9092)]>: Closing connection. 
[2025-02-13T14:01:39.255+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1710338499255, 'account_id': 'A00352', 'customer_id': 'C00934', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00326', 'transaction_amount': 5098.88, 'exchange_rate': 0.8483}
[2025-02-13T14:01:39.261+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1715263299261, 'account_id': 'A00335', 'customer_id': 'C00200', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00808', 'transaction_amount': 101.7, 'exchange_rate': 1.3875}
