[2025-02-12T16:10:25.897+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-08T17:00:00+00:00 [queued]>
[2025-02-12T16:10:25.913+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-08T17:00:00+00:00 [queued]>
[2025-02-12T16:10:25.914+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 4
[2025-02-12T16:10:25.934+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-02-08 17:00:00+00:00
[2025-02-12T16:10:25.946+0000] {standard_task_runner.py:57} INFO - Started process 6062 to run task
[2025-02-12T16:10:25.951+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-02-08T17:00:00+00:00', '--job-id', '110', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator_dag.py', '--cfg-path', '/tmp/tmpptmrg2jj']
[2025-02-12T16:10:25.954+0000] {standard_task_runner.py:85} INFO - Job 110: Subtask generate_txn_fact_data
[2025-02-12T16:10:26.043+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-02-08T17:00:00+00:00 [running]> on host 5879df32f101
[2025-02-12T16:10:26.197+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='hoyseiha@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-08T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-08T17:00:00+00:00'
[2025-02-12T16:10:26.204+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-12T16:10:26.205+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-02-12T16:10:26.206+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-12T16:10:26.310+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-02-12T16:10:26.310+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-12T16:10:26.318+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1715443826316, 'account_id': 'A00155', 'customer_id': 'C00593', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00290', 'transaction_amount': 3355.49, 'exchange_rate': 0.9347}
[2025-02-12T16:10:26.320+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1727021426320, 'account_id': 'A00338', 'customer_id': 'C00393', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00749', 'transaction_amount': 8833.99, 'exchange_rate': 0.8139}
[2025-02-12T16:10:26.323+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1727367026323, 'account_id': 'A00722', 'customer_id': 'C00395', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00670', 'transaction_amount': 7948.61, 'exchange_rate': 0.7236}
[2025-02-12T16:10:26.326+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1722269426325, 'account_id': 'A00303', 'customer_id': 'C00203', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00994', 'transaction_amount': 174.53, 'exchange_rate': 1.101}
[2025-02-12T16:10:26.328+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1708359026328, 'account_id': 'A00243', 'customer_id': 'C00424', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00985', 'transaction_amount': 72.07, 'exchange_rate': 1.2815}
[2025-02-12T16:10:26.332+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1732119026331, 'account_id': 'A00550', 'customer_id': 'C00018', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00764', 'transaction_amount': 8059.43, 'exchange_rate': 1.2608}
[2025-02-12T16:10:26.329+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-12T16:10:26.335+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1736439026334, 'account_id': 'A00596', 'customer_id': 'C00401', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00943', 'transaction_amount': 3690.28, 'exchange_rate': 0.7567}
[2025-02-12T16:10:26.336+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-12T16:10:26.339+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1737130226338, 'account_id': 'A00539', 'customer_id': 'C00559', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 5790.61, 'exchange_rate': 0.5608}
[2025-02-12T16:10:26.339+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
